date,qty,lvmh_stock_price,kering_stock_price
2021-09-05,4956.98946566948,634.9000244140625,683.2999877929688
2021-09-12,4926.545343092228,663.5,696.4000244140625
2021-09-19,4953.348321699943,631.0,637.2000122070312
2021-09-26,4851.423563862342,642.9000244140625,633.7999877929688
2021-10-03,4806.717644025048,630.0,627.2999877929688
2021-10-10,4769.898288136512,627.7000122070312,627.0
2021-10-17,4811.0533774713995,664.7999877929688,668.7999877929688
2021-10-24,5312.610564783104,667.2999877929688,646.0999755859375
2021-10-31,5889.479743217207,677.2000122070312,648.2000122070312
2021-11-07,5962.133127598218,708.9000244140625,659.9000244140625
2021-11-14,6016.974340973953,722.9000244140625,677.7999877929688
2021-11-21,6015.846573762041,733.5,716.9000244140625
2021-11-28,5977.65750127265,692.0,665.5
2021-12-05,5904.8521098782,685.0,684.0
2021-12-12,5929.951502624015,710.0,700.5
2021-12-19,5652.521433876849,699.0,689.7999877929688
2021-12-26,6503.7494770661015,717.4000244140625,687.0
2022-01-02,7124.723304943966,727.0,706.9000244140625
2022-01-09,7325.803699475556,715.7999877929688,717.4000244140625
2022-01-16,7183.922418096625,675.4000244140625,665.5
2022-01-23,6877.972795751466,697.2000122070312,668.7999877929688
2022-01-30,6653.807551350565,716.4000244140625,647.7999877929688
2022-02-06,6394.225662815275,706.0999755859375,652.2000122070312
2022-02-13,6107.060768295596,685.0,619.7999877929688
2022-02-20,5936.670439349635,686.2999877929688,666.5999755859375
2022-02-27,5702.683958019874,666.5999755859375,638.5999755859375
2022-03-06,5554.1400692693405,577.7999877929688,558.5999755859375
2022-03-13,5411.592973603872,594.9000244140625,557.0999755859375
2022-03-20,5231.63124834659,639.4000244140625,604.5
2022-03-27,5341.145830782112,626.0,582.2999877929688
2022-04-03,5296.695083196444,649.5999755859375,575.2999877929688
2022-04-10,5421.922071381316,631.7000122070312,551.2999877929688
2022-04-17,5472.89973107745,640.0,533.7999877929688
2022-04-24,5384.959835512208,639.5999755859375,529.2000122070312
2022-05-01,5326.26279403628,619.5,513.0999755859375
2022-05-08,5384.179566581947,561.9000244140625,457.8999938964844
2022-05-15,5125.434166429401,581.2999877929688,460.1000061035156
2022-05-22,5056.009118915945,556.5999755859375,450.3500061035156
2022-05-29,4914.063191059438,593.4000244140625,489.0
2022-06-05,4625.533964692433,609.0999755859375,521.0
2022-06-12,4848.554342315199,572.9000244140625,510.3999938964844
2022-06-19,4917.053527246524,544.7000122070312,481.8500061035156
2022-06-26,4663.558712280218,587.4000244140625,502.5
2022-07-03,5552.168318994154,580.0,487.25
2022-07-10,6500.263691269889,606.9000244140625,501.0
2022-07-17,6718.024693362278,608.4000244140625,496.8999938964844
2022-07-24,6979.911281918014,634.7000122070312,531.2999877929688
2022-07-31,6798.451980045842,675.0,556.9000244140625
2022-08-07,6319.570087793817,682.2000122070312,543.5999755859375
2022-08-14,6080.129141667805,694.5,561.0
2022-08-21,5960.408668604799,698.2999877929688,558.0999755859375
2022-08-28,5861.210610871074,669.0,528.9000244140625
2022-09-04,5551.443668246466,644.5999755859375,496.1000061035156
2022-09-11,5061.650979055596,652.2999877929688,522.2000122070312
2022-09-18,4648.443812236717,639.5,494.1499938964844
2022-09-25,4449.621169436037,603.2000122070312,477.20001220703125
2022-10-02,4290.592766490567,610.4000244140625,458.54998779296875
2022-10-09,4344.964689536138,618.2000122070312,449.5
2022-10-16,4598.905472875282,625.2000122070312,448.0
2022-10-23,4728.177745016328,631.5,454.1000061035156
2022-10-30,4751.331408415195,649.2999877929688,463.75
2022-11-06,4606.168997390279,666.2000122070312,503.3999938964844
2022-11-13,4639.036011676228,706.2000122070312,543.5999755859375
2022-11-20,4695.0395736668015,698.2000122070312,551.0999755859375
2022-11-27,4536.838770793734,700.2000122070312,545.2999877929688
2022-12-04,4265.440455814257,715.2999877929688,559.7000122070312
2022-12-11,4077.2269485654706,720.2999877929688,523.5
2022-12-18,3874.448951243281,693.7999877929688,491.04998779296875
2022-12-25,3750.278042539889,673.7999877929688,471.95001220703125
2023-01-01,3516.954191805581,679.9000244140625,475.5
2023-01-08,3450.50115742313,748.7999877929688,527.5999755859375
2023-01-15,3517.8827515244493,785.2999877929688,563.5999755859375
2023-01-22,3874.9554199002373,782.7999877929688,531.5999755859375
2023-01-29,4089.243769710868,801.0,557.7000122070312
2023-02-05,4146.796521582812,829.4000244140625,598.5999755859375
2023-02-12,4024.3716264204218,797.5999755859375,559.5
2023-02-19,3879.2032125622627,818.4000244140625,590.0
2023-02-26,3980.6719350033995,777.2999877929688,553.7999877929688
2023-03-05,4087.3685349285506,815.0999755859375,577.4000244140625
2023-03-12,4026.812945594141,802.5999755859375,573.5999755859375
2023-03-19,4236.991097602975,787.2999877929688,547.0999755859375
2023-03-26,4583.91502907788,813.4000244140625,580.5
2023-04-02,4863.553838283787,844.4000244140625,600.0
2023-04-09,4889.807788950977,829.0999755859375,555.4000244140625
2023-04-16,4753.171756641223,892.7999877929688,576.0
2023-04-23,4616.2703668455215,901.0999755859375,578.0
2023-04-30,4375.700870253394,871.0,579.7000122070312
2023-05-07,4113.257777465006,876.9000244140625,561.4000244140625
2023-05-14,3897.4531994714544,885.4000244140625,545.4000244140625
2023-05-21,3632.0127216562146,874.2999877929688,535.0999755859375
2023-05-28,3594.258966259207,843.5,517.7000122070312
2023-06-04,3512.719564079883,830.9000244140625,506.70001220703125
2023-06-11,3529.3039745301876,820.0,504.70001220703125
2023-06-18,3651.5426072517757,868.5999755859375,527.7000122070312
2023-06-25,3675.045948294376,830.0999755859375,502.20001220703125
2023-07-02,3938.963432896895,863.0,505.6000061035156
2023-07-09,3988.507656228289,825.4000244140625,477.6000061035156
2023-07-16,4088.4584783114933,892.2999877929688,500.0
2023-07-23,3989.9470650413286,867.9000244140625,541.2999877929688
2023-07-30,3738.662551197674,841.2000122070312,531.2000122070312
2023-08-06,3612.592440128578,816.0,514.5
